Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
3787.6,4767.4,5007.4,4414.1
2784.8,3656.6,3877,3318.6
1791.3,2593.9,2776.6,2313.6
977.1,1567.5,1713.9,1401.4
402.4,782.4,878.3,695.3
119.8,276.6,321.5,282.1
21.2,78.2,92.3,110.4
8.9,21.8,25.9,50
3.8,0,0,0
3.6,0,0,0
7.6,0,0,0
5.2,0,0,0
9.2,0,0,0
6.8,0,0,0
3.5,0,0,0
4.4,0,0,0
5,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
3.5,0,0,0
3.5,0,0,0
2.7,0,0,0
2.9,0,0,0
2.7,0,0,0
3.5,0,0,0
2.7,0,0,0
2.8,0,0,0
3.5,0,0,0
2.7,0,0,0
2.8,0,0,0
2.8,0,0,0
3.4,0,0,0
2.8,0,0,0
3.6,0,0,0
2.8,0,0,0
3,0,0,0
2.8,0,0,0
2.8,0,0,0
3.2,0,0,0
3.1,0,0,0
2.8,0,0,0
2.8,0,0,0
3.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
2.8,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
3.5,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
6.5,0,0,0
2.8,0,0,0
2.9,0,0,0
3.3,0,0,0
7.2,0,0,0
17.7,96.7,114,114.7
110.1,496.5,534.9,537.6
567.7,1280.1,1299.4,1262.7
1371.4,2561,2455.5,2374.7
2420.7,3928.3,3824.2,3771.2
3708.7,5496.3,5451.8,5431.3
5122.6,7247.5,7255.6,7083.1
6647.9,8905.8,9005.4,8614.4
8178.9,10445.8,10578.8,10013.3
9585.5,11839.8,12047,11381.8
10885.2,13117.7,13366.1,12570.2
12126,14269.6,14583.3,13564.1
13332.6,15327.5,15696,14553.6
14406.9,16301.4,16710.8,15562.9
15221.4,17140.1,17582.5,16252.1
15758.4,17723.8,18197.3,16724.2
16151.8,17946.4,18458.6,16987.8
16384.6,17939.4,18473.8,17110.7
16426.7,17809.6,18405.4,17128.4
16305.4,17520.2,18120,16960.2
15952.8,16978.4,17570.6,16606.4
15381.5,16207.2,16756.5,15711.4
14594.6,15275.6,15767.1,14910.8
13599.6,14213,14631.5,13987.4
12417.3,13037.1,12991.2,12947.6
11042.9,11761.3,11685.8,11803.9
9544.2,10388.2,10288.7,10539.3
7957.1,8935.3,8816.1,9107.6
6333.1,7400.5,7257,7534.3
4716.6,5772.3,5583.8,5747.1
3161.2,4153.8,3927.1,4025.5
1755.7,2659.8,2414.6,2487.6
723.7,1428.9,1230.9,1285.3
200.3,540.8,451.3,535
40.2,154.2,139.3,209.4
9.8,35.7,38.1,43.2
3.8,0,0,0
3.5,0,0,0
4.4,0,0,0
3.5,0,0,0
3.8,0,0,0
3.4,0,0,0
3.1,0,0,0
3.1,0,0,0
3.7,0,0,0
3,0,0,0
2.9,0,0,0
3,0,0,0
3.6,0,0,0
3.6,0,0,0
3.7,0,0,0
2.9,0,0,0
3,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
3.4,0,0,0
2.8,0,0,0
2.8,0,0,0
2.9,0,0,0
3.5,0,0,0
2.8,0,0,0
2.9,0,0,0
2.9,0,0,0
3.6,0,0,0
2.9,0,0,0
2.8,0,0,0
3.1,0,0,0
3.5,0,0,0
3.5,0,0,0
3.5,0,0,0
2.9,0,0,0
2.8,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
3,0,0,0
3,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
2.9,0,0,0
2.8,0,0,0
2.7,0,0,0
2.8,0,0,0
2.9,0,0,0
4,0,0,0
3.1,0,0,0
2.9,0,0,0
2.9,0,0,0
3.3,0,0,0
2.7,0,0,0
2.9,0,0,0
3.3,0,0,0
5.9,0,0,0
20.1,118.1,104.2,103.1
130.9,584.5,508.3,489
559,1381.5,1232.1,1181.7
1251.5,2449.8,2274.9,2207.7
2200.8,3681.9,3519.4,3505.6
3349.7,5121.4,5025.4,5098.3
4699.1,6675.8,6684.6,6637.1
6179.9,8203,8338.4,8073.5
7583,9620.2,9800.1,9382
8865.7,10945.2,11148.4,10707.1
10038.8,12181.1,12439.4,11923.7
11286.2,13332.5,13705.7,13013.6
12366,14363.1,14858.8,14144
13330.6,15288.8,15892.2,14993.3
14196.3,16080.9,16733.5,15694.5
14772,16652.4,17328.5,16239.4
15315.4,16917.5,17610.3,16493.8
15320.1,16986.3,17686.4,16631.9
15325.7,16936,17612.7,16556.4
15170.3,16642.9,17370.9,16319.9
14838.4,16143.7,16862,15927.6
14323.1,15411.5,16122.8,15177.6
13624.9,14510.2,15207.5,14415.9
12705.2,13472.5,14147.5,13544.8
11589,12327,12556,12529.3
10337.9,11081.7,11300.1,11493.5
8944,9752.1,9941.6,10082.9
7472.8,8373.8,8526.7,8621.1
5966.4,6916.1,7032,7152.7
4478.8,5370.4,5453.8,5540.2
3054.5,3851,3887.2,3822.2
1771.7,2464.3,2467.2,2369.4
822.8,1326,1347.5,1235.4
281.2,541,539.7,505
60.5,191.6,188.6,178.5
9.2,46.2,46,42.2
5.1,0,0,0
4.8,0,0,0
5,0,0,0
4.8,0,0,0
3.4,0,0,0
3.3,0,0,0
3.1,0,0,0
3.2,0,0,0
3,0,0,0
3.3,0,0,0
3.6,0,0,0
3.7,0,0,0
6.7,0,0,0
5.3,0,0,0
2.8,0,0,0
2.9,0,0,0
3.5,0,0,0
3.6,0,0,0
2.9,0,0,0
3,0,0,0
3.7,0,0,0
2.8,0,0,0
2.8,0,0,0
2.8,0,0,0
3.4,0,0,0
2.7,0,0,0
2.8,0,0,0
2.7,0,0,0
3.5,0,0,0
2.8,0,0,0
2.8,0,0,0
2.7,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
2.8,0,0,0
3.4,0,0,0
2.7,0,0,0
2.8,0,0,0
2.8,0,0,0
2.7,0,0,0
2.8,0,0,0
3,0,0,0
2.6,0,0,0
2.5,0,0,0
2.7,0,0,0
2.7,0,0,0
2.8,0,0,0
2.6,0,0,0
2.7,0,0,0
2.7,0,0,0
3.2,0,0,0
2.6,0,0,0
2.6,0,0,0
2.5,0,0,0
3.4,0,0,0
2.5,0,0,0
2.9,0,0,0
3.2,0,0,0
5.2,0,0,0
20.8,100.9,111.9,111.8
125.1,483.9,495.8,496.9
620.2,1136.3,1123,1079
1411.4,2064.2,2002.6,1897
2397.5,3160.5,3037.3,2962.8
3527.2,4501.9,4285.8,4310.1
4777.9,5882.6,5671.7,5652
6138.3,7276.7,7056.5,6987.9
7509.1,8594.6,8339.1,8280
8780.3,9773.2,9569.2,9608.2
9969.5,10862.4,10722.4,10841.1
11046,11836.9,11775.2,11891.2
11975.1,12745.7,12734,12874.3
12800.9,13537.7,13599.6,13732.1
13392.5,14180.1,14305.2,14389.3
13713.5,14610.5,14799.5,14782.3
13850.1,14802,15034.4,14944
13926.4,14814.5,15084.2,14934.7
13758.9,14716.6,14993,14801.9
13502.9,14457.7,14739.6,14534.1
13118.5,14047.4,14350.8,14184.3
12543.5,13435.5,13777.1,13545.5
11831.3,12683.7,13075.5,12825
10968.4,11810.8,12238.6,12024.5
10008.1,10835.1,11108.4,11129.2
9013,9748.1,9989.7,10071.9
